Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_lat,suburb_lng,km_from_cbd
955000,31/5/16,2,5,2,0.4317073170731707,House,-33.67757,150.91278,0.4186046511627907
440000,31/5/16,1,3,1,0.04227642276422764,House,-34.0051,150.8581,0.43745410036719706
935000,14/6/16,3,5,2,0.37398373983739835,House,-33.75523,150.88065,0.3981640146878825
4000000,15/6/16,1,3,2,0.9130081300813008,House,-33.8057,151.16111,0.09412484700122399
2650000,15/6/16,2,4,2,0.2926829268292683,House,-33.89314,151.26703,0.07135862913096695
2000000,15/6/16,1,2,2,0.4195121951219512,House,-33.8057,151.16111,0.09412484700122399
605000,15/6/16,1,3,1,0.508130081300813,House,-33.95198,150.89671,0.3698898408812729
960000,16/6/16,2,4,2,0.3333333333333333,House,-33.70612,150.90622,0.4026927784577724
649000,16/6/16,2,2,1,0.04715447154471545,Apartment,-33.85783,151.08877,0.13390452876376988
1280000,17/6/16,1,3,0,0.1008130081300813,House,-33.8953,151.14668,0.0788249694002448
1240000,17/6/16,2,3,1,0.11626016260162601,House,-33.93108,151.21145,0.08592411260709915
675000,17/6/16,2,4,2,0.22032520325203253,House,-33.95198,150.89671,0.3698898408812729
3250000,18/6/16,2,3,2,0.49105691056910566,House,-33.84987,151.13772,0.0806609547123623
2320000,18/6/16,3,4,3,0.33739837398373984,House,-33.84987,151.13772,0.0806609547123623
1795000,18/6/16,2,4,2,0.7178861788617886,House,-33.76365,151.12999,0.16119951040391675
1550000,18/6/16,1,2,0,0.03983739837398374,House,-33.88334,151.22781,0.028274173806609546
905000,18/6/16,1,2,1,0.491869918699187,House,-33.96181,151.05799,0.21260709914320686
850000,18/6/16,2,4,4,0.4195121951219512,House,-34.00258,151.0648,0.24492044063647486
1850000,19/6/16,3,4,2,0.33414634146341465,House,-33.94907,151.19881,0.111015911872705
865000,20/6/16,2,5,2,0.6040650406504066,House,-33.90435,150.90114,0.3499388004895961
